Date,0,1,2,3,8,9
2018-04-26,19.531479,17.036182,26.313082,23.654388,19.928179,13.463255
2018-04-27,46.87763,27.735367,40.103546,14.214486,49.164364,38.3717
2018-04-30,22.54418,30.716927,24.020596,31.184591,33.740623,29.345575
2018-05-02,31.805866,30.847662,18.924753,19.296455,29.264547,25.88485
2018-05-03,25.901731,28.283134,24.050243,16.064943,37.617615,22.690657
2018-05-04,20.333738,20.531834,24.961912,18.447872,19.072601,14.794203
2018-05-07,14.881789,7.7017994,13.406373,18.80766,19.958809,16.33044
2018-05-08,20.118723,13.855553,19.366344,14.01768,21.574154,29.819353
2018-05-09,12.422966,26.934868,13.4156685,14.718396,18.77386,18.117153
2018-05-10,17.752918,17.88684,10.99716,13.696425,22.922203,16.623718
2018-05-11,22.17545,17.47742,16.605242,17.800102,17.40669,18.564262
2018-05-14,39.03345,48.479332,27.949446,23.581821,36.00248,32.780304
2018-05-15,36.77816,31.887506,21.011995,21.490377,49.160797,32.939423
2018-05-16,13.954204,18.657793,10.379648,7.8353643,10.73039,9.84675
2018-05-17,22.197601,22.332521,14.546925,28.331802,39.13764,35.881584
2018-05-18,35.875793,36.904606,15.808836,20.04216,57.577667,31.021732
2018-05-21,42.901337,33.90935,29.034958,24.469696,38.091743,26.76331
2018-05-23,36.441044,60.82136,40.089996,24.673733,83.32786,57.74915
2018-05-24,12.380987,10.108598,12.526548,6.781669,18.532806,16.909014
2018-05-25,87.26282,44.183834,29.582102,37.5299,55.91802,34.168358
2018-05-28,35.889004,34.1234,16.249203,60.906036,51.37518,38.625942
2018-05-29,18.619581,34.396023,12.167863,15.399124,31.921312,30.055567
2018-05-30,15.627526,17.190935,17.363552,12.393788,12.8212,18.140148
2018-05-31,19.576885,35.088303,27.704144,28.626892,54.966324,36.86374
2018-06-01,24.956512,39.015846,27.369545,22.38143,44.72182,24.130798
2018-06-04,13.022385,20.601799,13.077915,10.12858,30.911213,16.700378
2018-06-05,26.300793,27.811964,14.529724,23.825464,29.872564,22.821918
2018-06-06,39.688934,17.624105,22.586382,17.540104,54.02823,30.683008
2018-06-07,13.106354,18.194447,19.156105,22.75384,22.496073,17.868107
2018-06-08,18.24486,25.70963,12.08366,18.455011,34.717907,21.546564
2018-06-11,24.056211,31.101341,14.700242,18.554543,24.531937,15.853691
2018-06-12,20.949965,24.467081,25.875196,14.8758,26.17204,24.92824
2018-06-13,24.942104,23.2962,31.169525,33.96525,40.409912,29.94722
2018-06-14,20.364548,16.702164,15.21064,17.128557,31.502625,22.25374
2018-06-15,28.941765,14.573634,16.93979,20.444506,40.769524,23.540136
2018-06-19,19.411467,37.88322,37.50183,22.124575,54.861908,32.915638
